Expected_Profit_Dollars,Expected_Profitability_Ratio,Expected_Loss_Dollars,Expense_Load_Dollars,Expected_Profit_Dollars_With_Bind,Submission ID,Broker Name,Channel,Broker Tier,Historical Bind Rate,Industry,Client Revenue ($M),Locations,State,Building Value ($),Contents Value ($),BI Value ($),Submission Complete,CAT Zone,Bind Propensity Score,Total Insured Value ($),Expected Value,Days to Quote,Prior Claims,Bind_Flag,_Derived_Premium,_Assumed_Loss_Ratio,Expected_Premium_Used,Assumed_Expense_Ratio,Assumed_Bind_Probability,,
33272,0.08,133087.98,55453.33,22624.96,SUB002,Beta Cover,Email,Gold,0.65,Manufacturing,120,2,FL,18000000,4000000,3000000,Yes,Yes,0.68,25000000,17000000,4,No,1,221813.3079,0.6,221813.31,0.24,0.68,0.92,0
15262.23,0.2,61048.91,25437.05,5036.54,SUB0020,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,36,10,FL,6635259,2177104,656286,No,Yes,0.33,9468649,3124654,2,No,0,101748.1853,0.6,101748.19,0.2,0.33,1,0
124708.16,0.13,498832.63,207846.93,109743.18,SUB0021,Alpha Risk,Portal,Platinum,0.78,Real Estate,253,8,NY,61266588,10281368,5492928,Yes,No,0.88,77040884,67795977,5,No,1,831387.7152,0.6,831387.72,0.25,0.88,0.98,0
43233.47,0.12,172933.89,72055.79,31560.43,SUB0022,Beta Cover,Email,Gold,0.65,Manufacturing,124,2,FL,18061500,3517492,2905376,Yes,Yes,0.73,24484368,17873588,1,No,1,288223.1424,0.6,288223.14,0.29,0.73,1.01,0
38604.32,0.17,154417.29,64340.54,28567.2,SUB0023,Alpha Risk,Portal,Platinum,0.78,Warehousing,92,3,TX,29445827,5348137,1541148,Yes,No,0.74,36335112,26887982,10,Yes,1,257362.1548,0.6,257362.15,0.21,0.74,0.98,0
135583.79,0.18,542335.15,225972.98,119313.73,SUB0024,Alpha Risk,Portal,Platinum,0.78,Real Estate,263,8,NY,61951636,10933299,4796339,Yes,No,0.88,77681274,68359521,6,No,1,903891.9246,0.6,903891.92,0.24,0.88,1.02,0
14156.06,0.2,56624.25,23593.44,6794.91,SUB0025,SecureEdge,Wholesaler,Silver,0.4,Retail,59,5,CA,7113130,3997837,1362323,No,No,0.48,12473290,5987179,9,No,0,94373.74644,0.6,94373.75,0.28,0.48,1.08,0
67725.17,0.21,270900.68,112875.28,56211.89,SUB0026,Alpha Risk,Portal,Platinum,0.78,Manufacturing,176,5,OH,37797593,7514652,2936410,Yes,No,0.83,48248655,40046383,1,No,1,451501.1293,0.6,451501.13,0.21,0.83,1.02,0
15951.36,0.22,63805.43,26585.6,10368.38,SUB0027,CoreTrust,Portal,Gold,0.66,Education,75,4,NJ,17865687,3035769,1918796,Yes,No,0.65,22820252,14833163,10,Yes,1,106342.3834,0.6,106342.38,0.22,0.65,1.04,0
50109.95,0.04,200439.81,83516.59,40087.96,SUB0028,Alpha Risk,Portal,Platinum,0.78,Warehousing,99,3,TX,22767543,4690317,2431437,Yes,No,0.8,29889297,23911437,3,No,1,334066.3552,0.6,334066.36,0.21,0.8,0.85,0
11744.16,0.15,46976.64,19573.6,5167.43,SUB0029,SecureEdge,Wholesaler,Silver,0.4,Retail,52,5,CA,7452730,3267017,1544359,No,No,0.44,12264106,5396206,7,No,0,78294.39617,0.6,78294.4,0.3,0.44,1.05,0
12541.14,0.15,50164.56,20901.9,5643.51,SUB003,SecureEdge,Wholesaler,Silver,0.4,Retail,40,5,CA,12000000,3000000,1500000,No,No,0.45,16500000,7425000,8,No,0,83607.60727,0.6,83607.61,0.3,0.45,1.05,0
22054.69,0.13,88218.76,36757.82,16099.92,SUB0030,CoreTrust,Portal,Gold,0.66,Education,82,4,NJ,19451233,2508190,2150234,Yes,No,0.73,24109657,17600049,4,Yes,1,147031.2624,0.6,147031.26,0.26,0.73,0.99,0
9049.23,0.17,36196.93,15082.06,4796.09,SUB0031,FastBind,Email,Silver,0.5,Office Space,57,3,CO,11660251,1772716,1495932,No,No,0.53,14928899,7912316,9,No,0,60328.22416,0.6,60328.22,0.29,0.53,1.06,0
20141.85,0.15,80567.41,33569.76,6042.56,SUB0032,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,21,10,FL,12100985,2805533,1183242,No,Yes,0.3,16089760,4826928,3,No,0,134279.0248,0.6,134279.02,0.23,0.3,0.98,0
13844.39,0.16,55394.78,17377.58,4153.32,SUB0033,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,23,10,FL,12000125,2546481,1435429,No,Yes,0.3,15982035,4794610,5,No,0,,0.64,86616.75,0.2,0.3,1,0
28176.49,0.17,95019.41,46085.17,20850.6,SUB0034,Alpha Risk,Portal,Platinum,0.78,Warehousing,66,3,TX,27122243,5861484,2047947,Yes,No,0.74,35031674,25923438,3,No,1,,0.56,169281.07,0.27,0.74,1,0
11984.83,0.07,101496.93,46735.31,7670.29,SUB0035,Beta Cover,Email,Gold,0.65,Manufacturing,122,2,FL,22157147,4164905,2810212,Yes,Yes,0.64,29132264,18644648,7,No,1,,0.63,160217.07,0.29,0.64,0.99,0
30075.49,0.21,80348.89,35789.44,22255.86,SUB0036,Alpha Risk,Portal,Platinum,0.78,Warehousing,86,3,TX,27193703,4377242,2255192,Yes,No,0.74,33826137,25031341,5,No,1,,0.55,146213.82,0.24,0.74,1,0
22465.77,0.13,113775.45,38826.62,17523.3,SUB0037,Alpha Risk,Portal,Platinum,0.78,Warehousing,86,3,TX,22150380,5591838,1833359,Yes,No,0.78,29575577,23068950,9,No,1,,0.65,175067.84,0.22,0.78,1,0
30205.96,0.18,91257.07,46427.76,13894.74,SUB0038,SecureEdge,Wholesaler,Silver,0.4,Retail,31,5,CA,15348305,3093895,1616577,No,No,0.46,20058777,9227037,7,Yes,0,,0.54,167890.79,0.28,0.46,1,0
1252.09,0.02,42949.81,17248.96,601,SUB0039,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,8059837,1727916,1064946,No,Yes,0.48,10852699,5209295,2,No,0,,0.7,61450.86,0.28,0.48,1,0
21221.53,0.06,233355.17,103576.32,18250.52,SUB004,Alpha Risk,Portal,Platinum,0.78,Real Estate,250,8,NY,60000000,10000000,5000000,Yes,No,0.86,75000000,64500000,5,Yes,1,,0.65,358153.03,0.29,0.86,1,0
4143.16,0.03,108973.46,46648.18,1491.54,SUB0040,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,24,10,FL,10308420,1670584,1399804,No,Yes,0.36,13378808,4816370,4,Yes,0,,0.68,159764.8,0.29,0.36,1,0
19607.96,0.24,44271.09,16715.36,10588.3,SUB0041,SecureEdge,Wholesaler,Silver,0.4,Retail,58,5,CA,7884015,3008966,1430080,No,No,0.54,12323061,6654452,9,No,0,,0.55,80594.4,0.21,0.54,1,0
4707.76,0.18,16441.02,5440.99,1318.17,SUB0042,Delta Insure,API,Bronze,0.35,Hospitality,42,1,LA,1655806,1486894,487978,No,Yes,0.28,3630678,1016589,2,Yes,0,,0.62,26589.76,0.2,0.28,1,0
28960.29,0.16,113327.6,38010.82,22009.82,SUB0043,Beta Cover,Email,Gold,0.65,Logistics,60,2,IL,12444244,2495281,704633,Yes,No,0.76,15644158,11889560,10,Yes,1,,0.63,180298.71,0.21,0.76,1,0
24290.03,0.16,82715.85,45732.73,17003.02,SUB0044,Beta Cover,Email,Gold,0.65,Manufacturing,138,2,FL,22411101,3160501,2763795,Yes,Yes,0.7,28335397,19834777,9,No,1,,0.54,152738.61,0.3,0.7,1,0
16814.95,0.19,54146.9,19527.11,7398.58,SUB0045,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,7186262,2568313,761362,No,Yes,0.44,10515937,4627012,10,No,0,,0.6,90488.97,0.22,0.44,1.01,0
2270.2,0.04,37662.23,15829.7,499.44,SUB0046,Delta Insure,API,Bronze,0.35,Hospitality,40,1,LA,6078933,1599513,840779,No,Yes,0.22,8519225,1874229,5,Yes,0,,0.68,55762.13,0.28,0.22,1,0
25430.15,0.21,69206.46,28809.89,12206.47,SUB0047,FastBind,Email,Silver,0.5,Office Space,66,3,CO,13557143,1929190,1498852,No,No,0.48,16985185,8152888,2,Yes,0,,0.56,123446.5,0.23,0.48,1,0
9276.69,0.06,95225.07,41612.74,6029.85,SUB0048,Beta Cover,Email,Gold,0.65,Logistics,85,2,IL,13501634,1623777,1160832,Yes,No,0.65,16286243,10586057,4,Yes,1,,0.65,146114.5,0.28,0.65,0.99,0
13312.35,0.05,185118.93,66439.32,8653.03,SUB0049,Beta Cover,Email,Gold,0.65,Manufacturing,113,2,FL,18329817,3874826,3458950,Yes,Yes,0.65,25663593,16681335,7,No,1,,0.7,264870.59,0.25,0.65,1,0
14471.5,0.23,32005.38,17374.22,4486.17,SUB005,Delta Insure,API,Bronze,0.35,Hospitality,30,1,LA,6000000,1000000,500000,No,Yes,0.31,7500000,2325000,7,No,0,,0.5,63851.11,0.27,0.31,1,0
19171.75,0.09,141457.13,48481.39,14953.96,SUB0050,CoreTrust,Portal,Gold,0.66,Education,107,4,NJ,17579973,4234075,2438065,Yes,No,0.78,24252113,18916648,8,No,1,,0.68,209110.27,0.23,0.78,1,0
40008.99,0.13,185820.29,87752.94,32407.28,SUB0051,Alpha Risk,Portal,Platinum,0.78,Manufacturing,187,5,OH,40097814,7050920,2542825,Yes,No,0.81,49691559,40250162,3,No,1,,0.59,313582.23,0.28,0.81,1,0
1973.34,0.03,39766.78,17467.82,809.07,SUB0052,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,33,10,FL,9307810,2435574,1341461,No,Yes,0.41,13084845,5364786,1,No,0,,0.67,59207.94,0.3,0.41,1,0
6006.49,0.07,57272.84,20086.5,3724.03,SUB0053,Beta Cover,Email,Gold,0.65,Logistics,76,2,IL,10985904,2076435,672702,Yes,No,0.62,13735041,8515725,4,No,1,,0.69,83365.84,0.24,0.62,1,0
25260,0.2,77584.94,26409.14,11872.2,SUB0054,FastBind,Email,Silver,0.5,Office Space,54,3,CO,12988603,1835112,964700,No,No,0.47,15788415,7420555,2,No,0,,0.6,129254.08,0.2,0.47,1,0
18578.32,0.11,104309.55,40130.16,11518.56,SUB0055,Beta Cover,Email,Gold,0.65,Logistics,60,2,IL,17435427,1178447,1102626,Yes,No,0.62,19716500,12224230,8,Yes,1,,0.64,163018.03,0.25,0.62,1,0
155720.17,0.24,324244.93,162743.18,143262.56,SUB0056,Alpha Risk,Portal,Platinum,0.78,Real Estate,235,8,NY,56736516,10761573,4512845,Yes,No,0.92,72010934,66250059,4,Yes,1,,0.5,642708.29,0.25,0.92,0.99,0
39963.45,0.19,115847.87,56046.25,31571.13,SUB0057,Alpha Risk,Portal,Platinum,0.78,Manufacturing,174,5,OH,37533934,6644363,3385241,Yes,No,0.79,47563538,37575195,2,No,1,,0.55,211857.57,0.26,0.79,1,0
15801.43,0.22,41137.13,16310.12,5846.53,SUB0058,Delta Insure,API,Bronze,0.35,Hospitality,25,1,LA,10417065,1289383,343742,No,Yes,0.37,12050190,4458570,6,No,0,,0.56,73248.68,0.22,0.37,1,0
22918.27,0.11,129418.04,55573.97,17188.7,SUB0059,Beta Cover,Email,Gold,0.65,Logistics,80,2,IL,14631601,2563712,644327,Yes,No,0.75,17839640,13379730,6,No,1,,0.62,207910.28,0.27,0.75,1,0
17095.52,0.23,41730.62,15476.43,11966.86,SUB006,Beta Cover,Email,Gold,0.65,Logistics,70,2,IL,15000000,2000000,1000000,Yes,No,0.7,18000000,12600000,10,No,1,,0.56,74302.57,0.21,0.7,1,0
12791.3,0.17,46607.3,17549.85,9977.21,SUB0060,Beta Cover,Email,Gold,0.65,Logistics,72,2,IL,13426490,1785646,924244,Yes,No,0.78,16136380,12586376,10,No,1,,0.61,76948.45,0.23,0.78,1.01,0
36226.32,0.15,134073.8,71140.88,22460.32,SUB0061,Beta Cover,Email,Gold,0.65,Manufacturing,103,2,FL,20077299,3014577,3233081,Yes,Yes,0.62,26324957,16321473,4,No,1,,0.56,241441,0.29,0.62,1,0
22559.05,0.14,96035.95,47681.15,19400.78,SUB0062,Alpha Risk,Portal,Platinum,0.78,Warehousing,99,3,TX,29545137,5427154,2178277,Yes,No,0.86,37150568,31949488,6,No,1,,0.58,166276.15,0.29,0.86,1.01,0
18844.13,0.14,87765.69,28651.02,5841.68,SUB0063,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,11,10,FL,11102214,2836759,797596,No,Yes,0.31,14736569,4568336,2,No,0,,0.65,135260.84,0.21,0.31,1,0
115403.46,0.23,274940.91,116137.44,98092.94,SUB0064,Alpha Risk,Portal,Platinum,0.78,Manufacturing,178,5,OH,36845972,6266780,3436432,Yes,No,0.85,46549184,39566806,10,No,1,,0.54,506481.81,0.23,0.85,1,0
7293.86,0.09,53887.03,19368.78,2334.03,SUB0065,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,36,10,FL,6764874,2048589,571125,No,Yes,0.32,9384588,3003068,2,No,0,,0.67,80549.67,0.24,0.32,1,0
28138.75,0.03,618168.89,259636.23,23355.17,SUB0066,Alpha Risk,Portal,Platinum,0.78,Real Estate,232,8,NY,64613906,10101090,4894120,Yes,No,0.83,79609116,66075566,10,No,1,,0.68,905943.87,0.29,0.83,1,0
38377.56,0.15,146601.46,63506.1,34156.03,SUB0067,Alpha Risk,Portal,Platinum,0.78,Warehousing,92,3,TX,29177512,4657731,2420593,Yes,No,0.89,36255836,32267694,4,Yes,1,,0.59,248485.12,0.26,0.89,1,0
15352.62,0.09,103866.54,44721.62,7215.73,SUB0068,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,11019418,1592341,1158592,No,Yes,0.47,13770351,6472064,8,No,0,,0.63,163940.78,0.27,0.47,0.99,0
87715.2,0.2,252697.54,89251.36,83329.44,SUB0069,Alpha Risk,Portal,Platinum,0.78,Real Estate,257,8,NY,60903550,10402852,5336075,Yes,No,0.95,76642477,72810353,7,No,1,,0.59,429664.1,0.21,0.95,1,0
35901.5,0.27,66809.16,30418.77,26567.11,SUB007,CoreTrust,Portal,Gold,0.66,Education,95,4,NJ,20000000,3500000,2000000,Yes,No,0.74,25500000,18870000,3,Yes,1,,0.5,133129.43,0.23,0.74,1,0
6698.99,0.05,84653.16,31217.46,5091.23,SUB0070,Beta Cover,Email,Gold,0.65,Logistics,53,2,IL,18489838,1231925,1253643,Yes,No,0.76,20975406,15941308,9,No,1,,0.69,122569.6,0.25,0.76,0.99,0
13793.04,0.14,62530.26,23753.85,3724.12,SUB0071,Delta Insure,API,Bronze,0.35,Hospitality,15,1,LA,8326352,1359600,557406,No,Yes,0.27,10243358,2765706,8,No,0,,0.62,100077.15,0.24,0.27,1,0
42239.27,0.13,189021.55,99067.95,37592.95,SUB0072,Alpha Risk,Portal,Platinum,0.78,Warehousing,94,3,TX,27679648,4398531,2144146,Yes,No,0.89,34222325,30457869,5,No,1,,0.57,330328.77,0.3,0.89,1,0
8105.91,0.17,25984.5,14591.88,2837.07,SUB0073,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,25,10,FL,4092510,1332824,1177141,No,Yes,0.35,6602475,2310866,2,No,0,,0.53,48682.29,0.3,0.35,1,0
5693.28,0.05,85007.19,30870.32,2732.78,SUB0074,FastBind,Email,Silver,0.5,Office Space,70,3,CO,9732084,1183918,1449280,No,No,0.48,12365282,5935335,5,Yes,0,,0.7,121570.8,0.25,0.48,1,0
16518.08,0.09,128127.99,44105.32,13049.28,SUB0075,Alpha Risk,Portal,Platinum,0.78,Warehousing,77,3,TX,24387166,4242252,1877559,Yes,No,0.79,30506977,24100511,8,No,1,,0.68,188751.39,0.23,0.79,1,0
65077.25,0.26,132024.18,57191.09,55966.44,SUB0076,Alpha Risk,Portal,Platinum,0.78,Warehousing,97,3,TX,27464491,5114919,1912626,Yes,No,0.86,34492036,29663150,10,Yes,1,,0.52,254292.52,0.22,0.86,1,0
2470.96,0.07,22335.37,10292.45,1111.93,SUB0077,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,5717265,1406746,1492587,No,Yes,0.45,8616598,3877469,9,No,0,,0.64,35098.77,0.29,0.45,1,0
15184.91,0.21,37513.28,20124.44,3188.83,SUB0078,Delta Insure,API,Bronze,0.35,Hospitality,38,1,LA,9167626,1472360,643213,No,Yes,0.21,11283199,2369471,9,Yes,0,,0.52,72822.62,0.28,0.21,1.01,0
33196.83,0.21,81247.67,43925.06,11950.86,SUB0079,SecureEdge,Wholesaler,Silver,0.4,Retail,27,5,CA,10161240,3795704,1374782,No,No,0.36,15331726,5519421,1,No,0,,0.51,158369.57,0.28,0.36,1,0
16340.53,0.17,54337.41,27346.83,8497.07,SUB008,FastBind,Email,Silver,0.5,Office Space,55,3,CO,10000000,1500000,1000000,No,No,0.52,12500000,6500000,7,No,0,,0.55,98024.77,0.28,0.52,1,0
20679.12,0.17,73303.93,29053.41,15922.92,SUB0080,Beta Cover,Email,Gold,0.65,Logistics,77,2,IL,14788468,2942893,1374003,Yes,No,0.77,19105364,14711130,9,No,1,,0.6,123036.47,0.24,0.77,1.01,0
21082.94,0.15,79899.28,38047.96,11173.96,SUB0081,FastBind,Email,Silver,0.5,Office Space,53,3,CO,11362424,2267550,1404020,No,No,0.53,15033994,7968016,7,No,0,,0.57,139030.18,0.27,0.53,0.99,0
145247.68,0.2,423569.37,149835.4,119103.09,SUB0082,Alpha Risk,Portal,Platinum,0.78,Real Estate,262,8,NY,62800949,9206035,4570917,Yes,No,0.82,76577901,62793878,9,No,1,,0.59,718652.45,0.21,0.82,1,0
17433.02,0.14,73343.57,36358.76,13249.1,SUB0083,Beta Cover,Email,Gold,0.65,Logistics,60,2,IL,15031689,2365634,1229097,Yes,No,0.76,18626420,14156079,8,No,1,,0.58,127135.35,0.29,0.76,1.01,0
23272.51,0.17,76928.89,36409.13,7912.65,SUB0084,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,33,10,FL,9246825,2202856,600151,No,Yes,0.34,12049832,4096942,1,No,0,,0.56,136610.53,0.27,0.34,1,0
4704.06,0.08,39632.24,17045.62,2304.99,SUB0085,FastBind,Email,Silver,0.5,Office Space,67,3,CO,5427427,1433380,632819,No,No,0.49,7493626,3671876,8,No,0,,0.65,61381.92,0.28,0.49,1.01,0
6403.52,0.09,42817.25,18444.67,1985.09,SUB0086,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,21,10,FL,4545088,1110682,1177432,No,Yes,0.31,6833202,2118292,8,No,0,,0.63,67665.44,0.27,0.31,0.99,0
56764.18,0.14,268009.17,91814.41,47114.27,SUB0087,Alpha Risk,Portal,Platinum,0.78,Real Estate,256,8,NY,60410273,10319207,4809066,Yes,No,0.83,75538546,62696993,3,Yes,1,,0.64,416587.77,0.22,0.83,1,0
48745.92,0.14,202780.54,88841.18,39971.65,SUB0088,Alpha Risk,Portal,Platinum,0.78,Real Estate,258,8,NY,57754349,9529283,5134312,Yes,No,0.82,72417944,59382714,1,Yes,1,,0.6,340367.63,0.26,0.82,1,0
2864.62,0.05,39444.32,17294.64,1489.6,SUB0089,FastBind,Email,Silver,0.5,Office Space,48,3,CO,8275918,880757,994306,No,No,0.52,10150981,5278510,8,No,0,,0.66,59603.57,0.29,0.52,1,0
13703.28,0.06,167725.83,58519.99,11510.76,SUB009,Alpha Risk,Portal,Platinum,0.78,Manufacturing,180,5,OH,40000000,7000000,3000000,Yes,No,0.84,50000000,42000000,8,No,1,,0.7,239949.1,0.24,0.84,1,0
64154.54,0.17,215459.63,91315.46,44908.18,SUB0090,CoreTrust,Portal,Gold,0.66,Education,97,4,NJ,24996019,3685489,2245747,Yes,No,0.7,30927255,21649078,3,No,1,,0.58,370929.63,0.25,0.7,1,0
61255.31,0.13,295813.35,109288.26,52679.57,SUB0091,Alpha Risk,Portal,Platinum,0.78,Real Estate,262,8,NY,64475882,9590826,4998094,Yes,No,0.86,79064802,67995729,3,No,1,,0.63,466356.93,0.23,0.86,0.99,0
4708.12,0.07,41720.1,16914.3,1883.25,SUB0092,Delta Insure,API,Bronze,0.35,Hospitality,12,1,LA,4314955,500000,880150,No,Yes,0.4,5695105,2278042,1,No,0,,0.66,63342.52,0.27,0.4,1,0
52366.88,0.17,181578.56,72245.84,42940.84,SUB0093,CoreTrust,Portal,Gold,0.66,Education,94,4,NJ,20257974,4375365,2012039,Yes,No,0.82,26645378,21849209,5,No,1,,0.59,306191.28,0.24,0.82,1,0
4355.59,0.07,42339.22,13878.88,1176.01,SUB0094,Delta Insure,API,Bronze,0.35,Hospitality,47,1,LA,3340335,1847315,841191,No,Yes,0.27,6028841,1627787,10,No,0,,0.7,60573.69,0.23,0.27,1,0
12683.68,0.08,102365.51,46361.08,5961.33,SUB0095,FastBind,Email,Silver,0.5,Office Space,58,3,CO,10759990,1821108,1118600,No,No,0.47,13699698,6438858,7,No,0,,0.63,161410.27,0.29,0.47,1,0
17848.25,0.11,104516.73,40696.86,10887.43,SUB0096,Beta Cover,Email,Gold,0.65,Logistics,58,2,IL,15058989,1013751,1052143,Yes,No,0.61,17124883,10446178,10,No,1,,0.64,163061.84,0.25,0.61,1,0
9528.69,0.13,44383.22,20540.04,5050.2,SUB0097,SecureEdge,Wholesaler,Silver,0.4,Retail,39,5,CA,12552532,2942423,1632436,No,No,0.53,17127391,9077517,9,No,0,,0.6,74451.95,0.28,0.53,1.01,0
4473.29,0.08,39343.21,12675.36,1744.58,SUB0098,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,9465161,2072553,642126,No,Yes,0.39,12179840,4750137,7,No,0,,0.7,56491.86,0.22,0.39,1,0
973.67,0.01,69602.9,29341.18,593.94,SUB0099,FastBind,Email,Silver,0.5,Office Space,69,3,CO,7465359,1832861,1285737,No,No,0.61,10583957,6456213,9,No,1,,0.7,99917.76,0.29,0.61,1,0
12447.49,0.14,53914.5,21666.54,4730.05,SUB010,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,20,10,FL,9000000,2000000,1000000,No,Yes,0.38,12000000,4560000,5,No,0,,0.61,88028.53,0.25,0.38,1,0
20746.93,0.2,55690.87,29448.5,11203.34,SUB0100,SecureEdge,Wholesaler,Silver,0.4,Retail,44,5,CA,12005236,3176013,1658585,No,No,0.54,16839834,9093510,8,No,0,,0.53,105886.29,0.28,0.54,1.01,0
23992.72,0.19,75529.06,25699.75,16315.05,SUB0101,Beta Cover,Email,Gold,0.65,Manufacturing,137,2,FL,13230839,3985953,2867617,Yes,Yes,0.68,20084409,13657398,2,No,1,,0.6,125221.53,0.21,0.68,1,0
25809.07,0.07,265874.96,90864.53,21937.71,SUB0102,Alpha Risk,Portal,Platinum,0.78,Warehousing,103,3,TX,27058361,4933363,2054694,Yes,No,0.85,34046418,28939455,1,Yes,1,,0.7,382548.56,0.24,0.85,1.01,0
25422.59,0.23,57971.01,29437.4,8897.91,SUB0103,Delta Insure,API,Bronze,0.35,Hospitality,13,1,LA,7903630,1627271,502576,No,Yes,0.35,10033477,3511716,7,No,0,,0.51,112831,0.26,0.35,1,0
10883.99,0.2,28045.71,14603.67,4027.08,SUB0104,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,16,10,FL,5552786,1002775,723792,No,Yes,0.37,7279353,2693360,7,No,0,,0.52,53533.37,0.27,0.37,0.99,0
132438.06,0.27,252353.36,106563.51,124491.78,SUB0105,Alpha Risk,Portal,Platinum,0.78,Real Estate,236,8,NY,56574998,9477751,4797832,Yes,No,0.94,70850581,66599546,8,Yes,1,,0.51,491354.93,0.22,0.94,1,0
18182.1,0.28,32701.4,13680.9,8181.95,SUB0106,SecureEdge,Wholesaler,Silver,0.4,Retail,26,5,CA,7397062,2539352,1213852,No,No,0.45,11150266,5017619,5,No,0,,0.51,64564.41,0.21,0.45,1,0
24478.54,0.25,53774.63,20449.81,8077.92,SUB0107,Delta Insure,API,Bronze,0.35,Hospitality,13,1,LA,10955039,1733723,326430,No,Yes,0.33,13015192,4295013,3,No,0,,0.54,98702.98,0.21,0.33,1,0
9768.91,0.15,41739.24,14844.53,3907.56,SUB0108,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,6941910,1460449,501273,No,Yes,0.4,8903632,3561452,8,No,0,,0.63,66352.68,0.22,0.4,1,0
739.11,0.02,23839.23,10439.3,288.25,SUB0109,Delta Insure,API,Bronze,0.35,Hospitality,12,1,LA,6039442,706613,284001,No,Yes,0.39,7030056,2741721,6,Yes,0,,0.68,35017.64,0.3,0.39,1,0
