Submission ID,Broker Name,Channel,Broker Tier,Historical Bind Rate,Industry,Client Revenue ($M),Locations,State,Building Value ($),Contents Value ($),BI Value ($),Submission Complete,CAT Zone,Bind Propensity Score,Total Insured Value ($),Expected Value,Days to Quote,Prior Claims,Bind_Flag,submission_date
SUB0015,Beta Cover,Email,Gold,0.65,Manufacturing,131,2,FL,22135970,4896304,3048834,Yes,Yes,0.7," 3,00,81,108.00 "," 2,10,56,775.00 ",6,No,1,2024-12-04
SUB0016,Alpha Risk,Portal,Platinum,0.78,Warehousing,87,3,TX,24597632,4184322,2444792,Yes,No,0.86," 3,12,26,746.00 "," 2,68,55,001.00 ",5,Yes,1,2025-01-08
SUB0017,Delta Insure,API,Bronze,0.35,Hospitality,46,1,LA,3092890,500000,767146,No,Yes,0.22," 43,60,036.00 "," 9,59,207.00 ",2,Yes,0,2025-02-24
SUB0018,FastBind,Email,Silver,0.5,Office Space,56,3,CO,10935523,776718,880848,No,No,0.43," 1,25,93,089.00 "," 54,15,028.00 ",8,Yes,0,2025-03-03
SUB0019,Alpha Risk,Portal,Platinum,0.78,Real Estate,269,8,NY,57237267,9447960,5136213,Yes,No,0.77," 7,18,21,440.00 "," 5,53,02,508.00 ",6,Yes,1,2025-04-22
SUB0020,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,36,10,FL,6635259,2177104,656286,No,Yes,0.33," 94,68,649.00 "," 31,24,654.00 ",2,No,0,2025-05-21
SUB0021,Alpha Risk,Portal,Platinum,0.78,Real Estate,253,8,NY,61266588,10281368,5492928,Yes,No,0.88," 7,70,40,884.00 "," 6,77,95,977.00 ",5,No,1,2025-06-02
SUB0022,Beta Cover,Email,Gold,0.65,Manufacturing,124,2,FL,18061500,3517492,2905376,Yes,Yes,0.73," 2,44,84,368.00 "," 1,78,73,588.00 ",1,No,1,2025-07-24
SUB0023,Alpha Risk,Portal,Platinum,0.78,Warehousing,92,3,TX,29445827,5348137,1541148,Yes,No,0.74," 3,63,35,112.00 "," 2,68,87,982.00 ",10,Yes,1,2025-08-12
SUB0024,Alpha Risk,Portal,Platinum,0.78,Real Estate,263,8,NY,61951636,10933299,4796339,Yes,No,0.88," 7,76,81,274.00 "," 6,83,59,521.00 ",6,No,1,2025-09-06
SUB0025,SecureEdge,Wholesaler,Silver,0.4,Retail,59,5,CA,7113130,3997837,1362323,No,No,0.48," 1,24,73,290.00 "," 59,87,179.00 ",9,No,0,2024-10-02
SUB0026,Alpha Risk,Portal,Platinum,0.78,Manufacturing,176,5,OH,37797593,7514652,2936410,Yes,No,0.83," 4,82,48,655.00 "," 4,00,46,383.00 ",1,No,1,2024-11-28
SUB0027,CoreTrust,Portal,Gold,0.66,Education,75,4,NJ,17865687,3035769,1918796,Yes,No,0.65," 2,28,20,252.00 "," 1,48,33,163.00 ",10,Yes,1,2024-12-21
SUB0028,Alpha Risk,Portal,Platinum,0.78,Warehousing,99,3,TX,22767543,4690317,2431437,Yes,No,0.8," 2,98,89,297.00 "," 2,39,11,437.00 ",3,No,1,2025-01-01
SUB0029,SecureEdge,Wholesaler,Silver,0.4,Retail,52,5,CA,7452730,3267017,1544359,No,No,0.44," 1,22,64,106.00 "," 53,96,206.00 ",7,No,0,2025-02-12
SUB0030,CoreTrust,Portal,Gold,0.66,Education,82,4,NJ,19451233,2508190,2150234,Yes,No,0.73," 2,41,09,657.00 "," 1,76,00,049.00 ",4,Yes,1,2025-03-26
SUB0031,FastBind,Email,Silver,0.5,Office Space,57,3,CO,11660251,1772716,1495932,No,No,0.53," 1,49,28,899.00 "," 79,12,316.00 ",9,No,0,2025-04-22
SUB0032,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,21,10,FL,12100985,2805533,1183242,No,Yes,0.3," 1,60,89,760.00 "," 48,26,928.00 ",3,No,0,2025-05-12
SUB0033,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,23,10,FL,12000125,2546481,1435429,No,Yes,0.3," 1,59,82,035.00 "," 47,94,610.00 ",5,No,0,2025-06-25
SUB0034,Alpha Risk,Portal,Platinum,0.78,Warehousing,66,3,TX,27122243,5861484,2047947,Yes,No,0.74," 3,50,31,674.00 "," 2,59,23,438.00 ",3,No,1,2025-07-17
SUB0035,Beta Cover,Email,Gold,0.65,Manufacturing,122,2,FL,22157147,4164905,2810212,Yes,Yes,0.64," 2,91,32,264.00 "," 1,86,44,648.00 ",7,No,1,2025-08-27
SUB0036,Alpha Risk,Portal,Platinum,0.78,Warehousing,86,3,TX,27193703,4377242,2255192,Yes,No,0.74," 3,38,26,137.00 "," 2,50,31,341.00 ",5,No,1,2025-09-27
SUB0037,Alpha Risk,Portal,Platinum,0.78,Warehousing,86,3,TX,22150380,5591838,1833359,Yes,No,0.78," 2,95,75,577.00 "," 2,30,68,950.00 ",9,No,1,2024-10-10
SUB0038,SecureEdge,Wholesaler,Silver,0.4,Retail,31,5,CA,15348305,3093895,1616577,No,No,0.46," 2,00,58,777.00 "," 92,27,037.00 ",7,Yes,0,2024-11-28
SUB0039,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,8059837,1727916,1064946,No,Yes,0.48," 1,08,52,699.00 "," 52,09,295.00 ",2,No,0,2024-12-28
SUB0040,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,24,10,FL,10308420,1670584,1399804,No,Yes,0.36," 1,33,78,808.00 "," 48,16,370.00 ",4,Yes,0,2025-01-16
SUB0041,SecureEdge,Wholesaler,Silver,0.4,Retail,58,5,CA,7884015,3008966,1430080,No,No,0.54," 1,23,23,061.00 "," 66,54,452.00 ",9,No,0,2025-02-15
SUB0042,Delta Insure,API,Bronze,0.35,Hospitality,42,1,LA,1655806,1486894,487978,No,Yes,0.28," 36,30,678.00 "," 10,16,589.00 ",2,Yes,0,2025-03-15
SUB0043,Beta Cover,Email,Gold,0.65,Logistics,60,2,IL,12444244,2495281,704633,Yes,No,0.76," 1,56,44,158.00 "," 1,18,89,560.00 ",10,Yes,1,2025-04-19
SUB0044,Beta Cover,Email,Gold,0.65,Manufacturing,138,2,FL,22411101,3160501,2763795,Yes,Yes,0.7," 2,83,35,397.00 "," 1,98,34,777.00 ",9,No,1,2025-05-12
SUB0045,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,7186262,2568313,761362,No,Yes,0.44," 1,05,15,937.00 "," 46,27,012.00 ",10,No,0,2025-06-23
SUB0046,Delta Insure,API,Bronze,0.35,Hospitality,40,1,LA,6078933,1599513,840779,No,Yes,0.22," 85,19,225.00 "," 18,74,229.00 ",5,Yes,0,2025-07-20
SUB0047,FastBind,Email,Silver,0.5,Office Space,66,3,CO,13557143,1929190,1498852,No,No,0.48," 1,69,85,185.00 "," 81,52,888.00 ",2,Yes,0,2025-08-25
SUB0048,Beta Cover,Email,Gold,0.65,Logistics,85,2,IL,13501634,1623777,1160832,Yes,No,0.65," 1,62,86,243.00 "," 1,05,86,057.00 ",4,Yes,1,2025-09-03
SUB0049,Beta Cover,Email,Gold,0.65,Manufacturing,113,2,FL,18329817,3874826,3458950,Yes,Yes,0.65," 2,56,63,593.00 "," 1,66,81,335.00 ",7,No,1,2024-10-05
SUB0050,CoreTrust,Portal,Gold,0.66,Education,107,4,NJ,17579973,4234075,2438065,Yes,No,0.78," 2,42,52,113.00 "," 1,89,16,648.00 ",8,No,1,2024-11-19
SUB0051,Alpha Risk,Portal,Platinum,0.78,Manufacturing,187,5,OH,40097814,7050920,2542825,Yes,No,0.81," 4,96,91,559.00 "," 4,02,50,162.00 ",3,No,1,2024-12-07
SUB0052,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,33,10,FL,9307810,2435574,1341461,No,Yes,0.41," 1,30,84,845.00 "," 53,64,786.00 ",1,No,0,2025-01-21
SUB0053,Beta Cover,Email,Gold,0.65,Logistics,76,2,IL,10985904,2076435,672702,Yes,No,0.62," 1,37,35,041.00 "," 85,15,725.00 ",4,No,1,2025-02-09
SUB0054,FastBind,Email,Silver,0.5,Office Space,54,3,CO,12988603,1835112,964700,No,No,0.47," 1,57,88,415.00 "," 74,20,555.00 ",2,No,0,2025-03-07
SUB0055,Beta Cover,Email,Gold,0.65,Logistics,60,2,IL,17435427,1178447,1102626,Yes,No,0.62," 1,97,16,500.00 "," 1,22,24,230.00 ",8,Yes,1,2025-04-18
SUB0056,Alpha Risk,Portal,Platinum,0.78,Real Estate,235,8,NY,56736516,10761573,4512845,Yes,No,0.92," 7,20,10,934.00 "," 6,62,50,059.00 ",4,Yes,1,2025-05-04
SUB0057,Alpha Risk,Portal,Platinum,0.78,Manufacturing,174,5,OH,37533934,6644363,3385241,Yes,No,0.79," 4,75,63,538.00 "," 3,75,75,195.00 ",2,No,1,2025-06-25
SUB0058,Delta Insure,API,Bronze,0.35,Hospitality,25,1,LA,10417065,1289383,343742,No,Yes,0.37," 1,20,50,190.00 "," 44,58,570.00 ",6,No,0,2025-07-28
SUB0059,Beta Cover,Email,Gold,0.65,Logistics,80,2,IL,14631601,2563712,644327,Yes,No,0.75," 1,78,39,640.00 "," 1,33,79,730.00 ",6,No,1,2025-08-14
SUB0060,Beta Cover,Email,Gold,0.65,Logistics,72,2,IL,13426490,1785646,924244,Yes,No,0.78," 1,61,36,380.00 "," 1,25,86,376.00 ",10,No,1,2025-09-18
SUB0061,Beta Cover,Email,Gold,0.65,Manufacturing,103,2,FL,20077299,3014577,3233081,Yes,Yes,0.62," 2,63,24,957.00 "," 1,63,21,473.00 ",4,No,1,2024-10-26
SUB0062,Alpha Risk,Portal,Platinum,0.78,Warehousing,99,3,TX,29545137,5427154,2178277,Yes,No,0.86," 3,71,50,568.00 "," 3,19,49,488.00 ",6,No,1,2024-11-09
SUB0063,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,11,10,FL,11102214,2836759,797596,No,Yes,0.31," 1,47,36,569.00 "," 45,68,336.00 ",2,No,0,2024-12-26
SUB0064,Alpha Risk,Portal,Platinum,0.78,Manufacturing,178,5,OH,36845972,6266780,3436432,Yes,No,0.85," 4,65,49,184.00 "," 3,95,66,806.00 ",10,No,1,2025-01-21
SUB0065,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,36,10,FL,6764874,2048589,571125,No,Yes,0.32," 93,84,588.00 "," 30,03,068.00 ",2,No,0,2025-02-02
SUB0066,Alpha Risk,Portal,Platinum,0.78,Real Estate,232,8,NY,64613906,10101090,4894120,Yes,No,0.83," 7,96,09,116.00 "," 6,60,75,566.00 ",10,No,1,2025-03-20
SUB0067,Alpha Risk,Portal,Platinum,0.78,Warehousing,92,3,TX,29177512,4657731,2420593,Yes,No,0.89," 3,62,55,836.00 "," 3,22,67,694.00 ",4,Yes,1,2025-04-28
SUB0068,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,11019418,1592341,1158592,No,Yes,0.47," 1,37,70,351.00 "," 64,72,064.00 ",8,No,0,2025-05-15
SUB0069,Alpha Risk,Portal,Platinum,0.78,Real Estate,257,8,NY,60903550,10402852,5336075,Yes,No,0.95," 7,66,42,477.00 "," 7,28,10,353.00 ",7,No,1,2025-06-28
SUB0070,Beta Cover,Email,Gold,0.65,Logistics,53,2,IL,18489838,1231925,1253643,Yes,No,0.76," 2,09,75,406.00 "," 1,59,41,308.00 ",9,No,1,2025-07-07
SUB0071,Delta Insure,API,Bronze,0.35,Hospitality,15,1,LA,8326352,1359600,557406,No,Yes,0.27," 1,02,43,358.00 "," 27,65,706.00 ",8,No,0,2025-08-12
SUB0072,Alpha Risk,Portal,Platinum,0.78,Warehousing,94,3,TX,27679648,4398531,2144146,Yes,No,0.89," 3,42,22,325.00 "," 3,04,57,869.00 ",5,No,1,2025-09-08
SUB0073,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,25,10,FL,4092510,1332824,1177141,No,Yes,0.35," 66,02,475.00 "," 23,10,866.00 ",2,No,0,2024-10-15
SUB0074,FastBind,Email,Silver,0.5,Office Space,70,3,CO,9732084,1183918,1449280,No,No,0.48," 1,23,65,282.00 "," 59,35,335.00 ",5,Yes,0,2024-11-03
SUB0075,Alpha Risk,Portal,Platinum,0.78,Warehousing,77,3,TX,24387166,4242252,1877559,Yes,No,0.79," 3,05,06,977.00 "," 2,41,00,511.00 ",8,No,1,2024-12-14
SUB0076,Alpha Risk,Portal,Platinum,0.78,Warehousing,97,3,TX,27464491,5114919,1912626,Yes,No,0.86," 3,44,92,036.00 "," 2,96,63,150.00 ",10,Yes,1,2025-01-17
SUB0077,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,5717265,1406746,1492587,No,Yes,0.45," 86,16,598.00 "," 38,77,469.00 ",9,No,0,2025-02-04
SUB0078,Delta Insure,API,Bronze,0.35,Hospitality,38,1,LA,9167626,1472360,643213,No,Yes,0.21," 1,12,83,199.00 "," 23,69,471.00 ",9,Yes,0,2025-03-18
SUB0079,SecureEdge,Wholesaler,Silver,0.4,Retail,27,5,CA,10161240,3795704,1374782,No,No,0.36," 1,53,31,726.00 "," 55,19,421.00 ",1,No,0,2025-04-08
SUB0080,Beta Cover,Email,Gold,0.65,Logistics,77,2,IL,14788468,2942893,1374003,Yes,No,0.77," 1,91,05,364.00 "," 1,47,11,130.00 ",9,No,1,2025-05-04
SUB0081,FastBind,Email,Silver,0.5,Office Space,53,3,CO,11362424,2267550,1404020,No,No,0.53," 1,50,33,994.00 "," 79,68,016.00 ",7,No,0,2025-06-02
SUB0082,Alpha Risk,Portal,Platinum,0.78,Real Estate,262,8,NY,62800949,9206035,4570917,Yes,No,0.82," 7,65,77,901.00 "," 6,27,93,878.00 ",9,No,1,2025-07-06
SUB0083,Beta Cover,Email,Gold,0.65,Logistics,60,2,IL,15031689,2365634,1229097,Yes,No,0.76," 1,86,26,420.00 "," 1,41,56,079.00 ",8,No,1,2025-08-22
SUB0084,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,33,10,FL,9246825,2202856,600151,No,Yes,0.34," 1,20,49,832.00 "," 40,96,942.00 ",1,No,0,2025-09-10
SUB0085,FastBind,Email,Silver,0.5,Office Space,67,3,CO,5427427,1433380,632819,No,No,0.49," 74,93,626.00 "," 36,71,876.00 ",8,No,0,2024-10-04
SUB0086,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,21,10,FL,4545088,1110682,1177432,No,Yes,0.31," 68,33,202.00 "," 21,18,292.00 ",8,No,0,2024-11-22
SUB0087,Alpha Risk,Portal,Platinum,0.78,Real Estate,256,8,NY,60410273,10319207,4809066,Yes,No,0.83," 7,55,38,546.00 "," 6,26,96,993.00 ",3,Yes,1,2024-12-18
SUB0088,Alpha Risk,Portal,Platinum,0.78,Real Estate,258,8,NY,57754349,9529283,5134312,Yes,No,0.82," 7,24,17,944.00 "," 5,93,82,714.00 ",1,Yes,1,2025-01-26
SUB0089,FastBind,Email,Silver,0.5,Office Space,48,3,CO,8275918,880757,994306,No,No,0.52," 1,01,50,981.00 "," 52,78,510.00 ",8,No,0,2025-02-12
SUB0090,CoreTrust,Portal,Gold,0.66,Education,97,4,NJ,24996019,3685489,2245747,Yes,No,0.7," 3,09,27,255.00 "," 2,16,49,078.00 ",3,No,1,2025-03-02
SUB0091,Alpha Risk,Portal,Platinum,0.78,Real Estate,262,8,NY,64475882,9590826,4998094,Yes,No,0.86," 7,90,64,802.00 "," 6,79,95,729.00 ",3,No,1,2025-04-10
SUB0092,Delta Insure,API,Bronze,0.35,Hospitality,12,1,LA,4314955,500000,880150,No,Yes,0.4," 56,95,105.00 "," 22,78,042.00 ",1,No,0,2025-05-04
SUB0093,CoreTrust,Portal,Gold,0.66,Education,94,4,NJ,20257974,4375365,2012039,Yes,No,0.82," 2,66,45,378.00 "," 2,18,49,209.00 ",5,No,1,2025-06-14
SUB0094,Delta Insure,API,Bronze,0.35,Hospitality,47,1,LA,3340335,1847315,841191,No,Yes,0.27," 60,28,841.00 "," 16,27,787.00 ",10,No,0,2025-07-16
SUB0095,FastBind,Email,Silver,0.5,Office Space,58,3,CO,10759990,1821108,1118600,No,No,0.47," 1,36,99,698.00 "," 64,38,858.00 ",7,No,0,2025-08-15
SUB0096,Beta Cover,Email,Gold,0.65,Logistics,58,2,IL,15058989,1013751,1052143,Yes,No,0.61," 1,71,24,883.00 "," 1,04,46,178.00 ",10,No,1,2025-09-08
SUB0097,SecureEdge,Wholesaler,Silver,0.4,Retail,39,5,CA,12552532,2942423,1632436,No,No,0.53," 1,71,27,391.00 "," 90,77,517.00 ",9,No,0,2024-10-14
SUB0098,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,9465161,2072553,642126,No,Yes,0.39," 1,21,79,840.00 "," 47,50,137.00 ",7,No,0,2024-11-23
SUB0099,FastBind,Email,Silver,0.5,Office Space,69,3,CO,7465359,1832861,1285737,No,No,0.61," 1,05,83,957.00 "," 64,56,213.00 ",9,No,1,2024-12-28
SUB0100,SecureEdge,Wholesaler,Silver,0.4,Retail,44,5,CA,12005236,3176013,1658585,No,No,0.54," 1,68,39,834.00 "," 90,93,510.00 ",8,No,0,2025-01-25
SUB0101,Beta Cover,Email,Gold,0.65,Manufacturing,137,2,FL,13230839,3985953,2867617,Yes,Yes,0.68," 2,00,84,409.00 "," 1,36,57,398.00 ",2,No,1,2025-02-08
SUB0102,Alpha Risk,Portal,Platinum,0.78,Warehousing,103,3,TX,27058361,4933363,2054694,Yes,No,0.85," 3,40,46,418.00 "," 2,89,39,455.00 ",1,Yes,1,2025-03-21
SUB0103,Delta Insure,API,Bronze,0.35,Hospitality,13,1,LA,7903630,1627271,502576,No,Yes,0.35," 1,00,33,477.00 "," 35,11,716.00 ",7,No,0,2025-04-16
SUB0104,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,16,10,FL,5552786,1002775,723792,No,Yes,0.37," 72,79,353.00 "," 26,93,360.00 ",7,No,0,2025-05-13
SUB0105,Alpha Risk,Portal,Platinum,0.78,Real Estate,236,8,NY,56574998,9477751,4797832,Yes,No,0.94," 7,08,50,581.00 "," 6,65,99,546.00 ",8,Yes,1,2025-06-18
SUB0106,SecureEdge,Wholesaler,Silver,0.4,Retail,26,5,CA,7397062,2539352,1213852,No,No,0.45," 1,11,50,266.00 "," 50,17,619.00 ",5,No,0,2025-07-15
SUB0107,Delta Insure,API,Bronze,0.35,Hospitality,13,1,LA,10955039,1733723,326430,No,Yes,0.33," 1,30,15,192.00 "," 42,95,013.00 ",3,No,0,2025-08-21
SUB0108,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,6941910,1460449,501273,No,Yes,0.4," 89,03,632.00 "," 35,61,452.00 ",8,No,0,2025-09-24
SUB0109,Delta Insure,API,Bronze,0.35,Hospitality,12,1,LA,6039442,706613,284001,No,Yes,0.39," 70,30,056.00 "," 27,41,721.00 ",6,Yes,0,2024-10-26
SUB0110,Delta Insure,API,Bronze,0.35,Hospitality,29,1,LA,6607328,500000,476491,No,Yes,0.35," 75,83,819.00 "," 26,54,336.00 ",3,No,0,2024-11-25
SUB0111,Alpha Risk,Portal,Platinum,0.78,Real Estate,268,8,NY,55661759,9071892,5444283,Yes,No,0.89," 7,01,77,934.00 "," 6,24,58,361.00 ",1,No,1,2024-12-28
SUB0112,Beta Cover,Email,Gold,0.65,Logistics,59,2,IL,16392504,1884748,805297,Yes,No,0.7," 1,90,82,549.00 "," 1,33,57,784.00 ",3,No,1,2025-01-28
SUB0113,CoreTrust,Portal,Gold,0.66,Education,91,4,NJ,18825922,2699016,2296308,Yes,No,0.78," 2,38,21,246.00 "," 1,85,80,571.00 ",5,No,1,2025-02-28
SUB0114,Beta Cover,Email,Gold,0.65,Logistics,79,2,IL,19140716,1078959,1312475,Yes,No,0.76," 2,15,32,150.00 "," 1,63,64,434.00 ",3,No,1,2025-03-13
SUB0115,SecureEdge,Wholesaler,Silver,0.4,Retail,34,5,CA,13873256,2138660,1736760,No,No,0.41," 1,77,48,676.00 "," 72,76,957.00 ",1,No,0,2025-04-09
SUB0116,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,26,10,FL,12088153,1435714,967585,No,Yes,0.41," 1,44,91,452.00 "," 59,41,495.00 ",5,No,0,2025-05-15
SUB0117,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,4987053,2077003,1070971,No,Yes,0.44," 81,35,027.00 "," 35,79,411.00 ",10,No,0,2025-06-13
SUB0118,SecureEdge,Wholesaler,Silver,0.4,Retail,50,5,CA,14045172,2623379,1696006,No,No,0.38," 1,83,64,557.00 "," 69,78,531.00 ",7,Yes,0,2025-07-01
SUB0119,CoreTrust,Portal,Gold,0.66,Education,107,4,NJ,24758519,2915599,1721710,Yes,No,0.79," 2,93,95,828.00 "," 2,32,22,704.00 ",7,No,1,2025-08-25
SUB0120,FastBind,Email,Silver,0.5,Office Space,42,3,CO,8635505,2101837,1438663,No,No,0.42," 1,21,76,005.00 "," 51,13,922.00 ",9,No,0,2025-09-07
SUB0121,Beta Cover,Email,Gold,0.65,Logistics,87,2,IL,13656407,2872488,1224242,Yes,No,0.64," 1,77,53,137.00 "," 1,13,62,007.00 ",10,No,1,2024-10-09
SUB0122,Alpha Risk,Portal,Platinum,0.78,Manufacturing,173,5,OH,40867697,6005620,3216468,Yes,No,0.86," 5,00,89,785.00 "," 4,30,77,215.00 ",10,No,1,2024-11-24
SUB0123,Alpha Risk,Portal,Platinum,0.78,Real Estate,231,8,NY,55419853,10297686,4981520,Yes,No,0.94," 7,06,99,059.00 "," 6,64,57,115.00 ",3,No,1,2024-12-01
SUB0124,CoreTrust,Portal,Gold,0.66,Education,86,4,NJ,17277614,3458948,1614745,Yes,No,0.81," 2,23,51,307.00 "," 1,81,04,558.00 ",7,Yes,1,2025-01-12
SUB0125,Delta Insure,API,Bronze,0.35,Hospitality,18,1,LA,7290125,1629392,200000,No,Yes,0.23," 91,19,517.00 "," 20,97,488.00 ",1,No,0,2025-02-08
SUB0126,Alpha Risk,Portal,Platinum,0.78,Warehousing,81,3,TX,20367551,5036179,2029116,Yes,No,0.76," 2,74,32,846.00 "," 2,08,48,962.00 ",4,No,1,2025-03-24
SUB0127,Delta Insure,API,Bronze,0.35,Hospitality,39,1,LA,2574412,1999239,212555,No,Yes,0.36," 47,86,206.00 "," 17,23,034.00 ",4,Yes,0,2025-04-11
SUB0128,Beta Cover,Email,Gold,0.65,Logistics,75,2,IL,19799613,2596012,976058,Yes,No,0.8," 2,33,71,683.00 "," 1,86,97,346.00 ",5,No,1,2025-05-19
SUB0129,Alpha Risk,Portal,Platinum,0.78,Manufacturing,181,5,OH,39738794,7676904,2925865,Yes,No,0.93," 5,03,41,563.00 "," 4,68,17,653.00 ",7,No,1,2025-06-17
SUB0130,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,9444437,2090643,648888,No,Yes,0.34," 1,21,83,968.00 "," 41,42,549.00 ",7,No,0,2025-07-08
SUB0131,Alpha Risk,Portal,Platinum,0.78,Manufacturing,165,5,OH,38818553,6363458,3079077,Yes,No,0.77," 4,82,61,088.00 "," 3,71,61,037.00 ",4,Yes,1,2025-08-03
SUB0132,Delta Insure,API,Bronze,0.35,Hospitality,37,1,LA,1675135,500000,200000,No,Yes,0.24," 23,75,135.00 "," 5,70,032.00 ",7,No,0,2025-09-03
SUB0133,FastBind,Email,Silver,0.5,Office Space,52,3,CO,12485003,1690831,595606,No,No,0.59," 1,47,71,440.00 "," 87,15,149.00 ",3,No,0,2024-10-01
SUB0134,Alpha Risk,Portal,Platinum,0.78,Warehousing,73,3,TX,25988058,5284854,1955076,Yes,No,0.78," 3,32,27,988.00 "," 2,59,17,830.00 ",6,No,1,2024-11-27
SUB0135,Alpha Risk,Portal,Platinum,0.78,Manufacturing,186,5,OH,41851487,7509310,3189773,Yes,No,0.85," 5,25,50,570.00 "," 4,46,67,984.00 ",2,No,1,2024-12-05
SUB0136,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,9729768,1706976,1304648,No,Yes,0.47," 1,27,41,392.00 "," 59,88,454.00 ",10,No,0,2025-01-10
SUB0137,Alpha Risk,Portal,Platinum,0.78,Warehousing,91,3,TX,22458393,4227753,2258152,Yes,No,0.75," 2,89,44,298.00 "," 2,17,08,223.00 ",9,Yes,1,2025-02-07
SUB0138,Delta Insure,API,Bronze,0.35,Hospitality,43,1,LA,5902659,500000,846423,No,Yes,0.3," 72,49,082.00 "," 21,74,724.00 ",5,No,0,2025-03-26
SUB0139,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,23,10,FL,12115972,2543208,1169283,No,Yes,0.46," 1,58,28,463.00 "," 72,81,092.00 ",6,No,0,2025-04-09
